inc,1/xi_p,1/xi_b,1/xi_d,1/xi_r
0.0,2.578619837487248,1.575004686279447,0.9999995392358922,0.5750051470435548
1.0,2.577962750366295,1.5748310847451115,0.9999667997540084,0.5748642849911032
2.0,2.5759921722892174,1.5743078199561404,0.9998659808283444,0.5744418391277959
3.0,2.572710152316656,1.5734314308647783,0.9996932006904302,0.5737382301743482
4.0,2.5681201028947105,1.5721987654378502,0.9994446066436437,0.5727541587942065
5.0,2.5622267958758522,1.5706069845893444,0.9991163798017662,0.5714906047875784
6.0,2.555036356955525,1.5686535420612864,0.9987047398041844,0.569948802257102
7.0,2.5465562585294843,1.5663361793415707,0.9982059495019742,0.5681302298395964
8.0,2.536729138193492,1.5616664151678417,0.9976163196091284,0.5640500955587132
9.0,2.5256657937763642,1.55766412587074,0.9969322133132376,0.5607319125575023
10.0,2.5133551065658475,1.5536507017785133,0.996150050839966,0.5575006509385473
11.0,2.4998039392363025,1.5494482245742107,0.9952663139657242,0.5541819106084865
12.0,2.4850234033128156,1.5449681510889182,0.9942775504729938,0.5506906006159245
13.0,2.468917656108637,1.5392101774670115,0.9931803785428224,0.5460297989241891
14.0,2.4516333234274192,1.5333025733030723,0.9919714910790836,0.5413310822239887
15.0,2.433205286236344,1.5274189366572117,0.9906476599591704,0.5367712766980413
16.0,2.41363093260983,1.5213259089049656,0.9892057402058734,0.5321201686990921
17.0,2.3927048801139588,1.5138419027955492,0.987642674075291,0.526199228720258
18.0,2.3707836352135385,1.5067050531139943,0.985955495055714,0.5207495580582803
19.0,2.3477983723384286,1.4994024079600716,0.9841413317725238,0.5152610761875478
20.0,2.32348471087456,1.4909114182541923,0.9821974117942658,0.5087140064599264
21.0,2.2982893162261564,1.4826991487690062,0.9801210653351592,0.5025780834338471
22.0,2.2719081032215502,1.473752398942767,0.9779097288494416,0.4958426700933254
23.0,2.24458390531258,1.4646973347166135,0.9755609485130567,0.4891363862035567
24.0,2.2162382412692967,1.4552387769667288,0.9730723835883412,0.4821663933783876
25.0,2.1868877487206917,1.445372548080992,0.970441809667492,0.4749307384134999
26.0,2.1566216270107645,1.4352535585231347,0.9676671217907482,0.4675864367323864
27.0,2.1254030265752704,1.4247018180638529,0.9647463374353564,0.4599554806284965
28.0,2.0932840086876325,1.4138737623101987,0.9616775993715596,0.4521961629386392
29.0,2.0604133575665577,1.402835372931069,0.958459178381986,0.4443761945490829
30.0,2.0265751321045524,1.391350349861229,0.9550894758409872,0.43626087402024183
31.0,1.9921674907497768,1.379776105361877,0.9515670261506468,0.4282090792112301
32.0,1.9567256406477271,1.3675978771965593,0.9478904990303332,0.41970737816622605
33.0,1.9206509114257269,1.3552778999083026,0.9440587016568593,0.4112191982514432
34.0,1.8839970158430492,1.3427859673738691,0.9400705806524818,0.4027153867213874
35.0,1.846682285867402,1.33003351364518,0.9359252239181524,0.3941082897270277
36.0,1.8086448597907108,1.316912496393576,0.9316218623096282,0.3852906340839479
37.0,1.770089637394614,1.3035750144383638,0.9271598711542164,0.37641514328414727
38.0,1.731014113714871,1.2900356562060036,0.9225387716061372,0.36749688459986635
39.0,1.6915531624787623,1.2763254358701843,0.9177582318386672,0.35856720403151704
40.0,1.6516142422054902,1.2623755989509071,0.9128180680714286,0.3495575308794784
41.0,1.6111864483602625,1.248179658611773,0.9077182454313832,0.3404614131803898
42.0,1.5704320729624723,1.2338021746316281,0.9024588786462836,0.33134329598534445
43.0,1.5293530001371687,1.2192623632513007,0.8970402325695442,0.3222221306817565
44.0,1.488007821134391,1.2045099771417789,0.8914627225356871,0.3130472546060917
45.0,1.4464836184569299,1.1896460590670423,0.8857269145457235,0.3039191445213188
46.0,1.404751064484968,1.1746244932272536,0.8798335252820318,0.2947909679452218
47.0,1.362805701711434,1.159404170899208,0.8737834219525084,0.2856207489466997
48.0,1.320785187059767,1.1440892188884717,0.8675776219639488,0.2765115969245228
49.0,1.2787807448909576,1.1286480957677028,0.861217292424848,0.26743080334285474
50.0,1.236801994779797,1.1131158524025353,0.8547037494779912,0.25841210292454403
51.0,1.1948367065994498,1.0974683006718284,0.8480384574634212,0.24942984320840725
52.0,1.1529060614044389,1.081701538003434,0.8412230279125698,0.2404785100908643
53.0,1.1112161572652663,1.065887066088154,0.8342592183745381,0.23162784771361605
54.0,1.069614771750733,1.0499700065391862,0.827148931075719,0.22282107546346713
55.0,1.028274934074706,1.0340041370894744,0.8198942114141509,0.21410992567532358
56.0,0.9871766979100456,1.017955559736699,0.812497246290183,0.20545831344651588
57.0,0.9464682881633726,1.001907939062191,0.8049603622752473,0.1969475767869437
58.0,0.9060277180463167,0.9857955600194892,0.7972860236207012,0.18850953639878798
59.0,0.8659871884471539,0.9696286334551801,0.7894768301089231,0.18015180334625702
60.0,0.8264324389197024,0.9534809622868253,0.7815355147490067,0.17194544753781862
61.0,0.7873984628467192,0.9373396590379082,0.7734649413196067,0.1638747177183014
62.0,0.7488183429315389,0.921162913603615,0.765268101761653,0.15589481184196194
63.0,0.7108197931231626,0.9049864084406152,0.7569481134238873,0.1480382950167278
64.0,0.6733899549838991,0.8888396025807976,0.7485082161642012,0.14033138641659645
65.0,0.6366834023890638,0.8727409760966938,0.7399517693101727,0.132789206786521
66.0,0.6005916478826929,0.8566602775752351,0.731282248482049,0.1253780290931861
67.0,0.5651755015814038,0.8405957294725939,0.7225032422821394,0.11809248719045455
68.0,0.5305722202907485,0.8246184678932125,0.7136184488536355,0.11100001903957696
69.0,0.4966747755509215,0.8086586769993057,0.7046316723137467,0.10402700468555905
70.0,0.4635888556674675,0.7927915511504587,0.695546819064372,0.09724473208608671
71.0,0.4313594232697709,0.7769927930318354,0.6863678939849636,0.09062489904687183
72.0,0.39994997154262973,0.7612625907897753,0.6770989965117924,0.08416359427798292
73.0,0.3694313584983954,0.7456297411975589,0.6677443166081208,0.07788542458943806
74.0,0.33985383492256943,0.7300894077352006,0.6583081306298972,0.07178127710530337
75.0,0.31116424977124874,0.7146431322369606,0.6487947970917142,0.0658483351452465
76.0,0.28343551295573044,0.6993167506061776,0.6392087523378881,0.060107998268289525
77.0,0.2566352040520359,0.6840935465436678,0.6295545061236372,0.05453904042003065
78.0,0.2308352807990101,0.6689992504571346,0.6198366371114296,0.04916261334570504
79.0,0.2060328505080118,0.6540361072990591,0.6100597882878546,0.043976319011204607
80.0,0.18221578523072174,0.6392049266542477,0.6002286623057217,0.03897626434852602
81.0,0.15943389341474928,0.6245230934452511,0.590348016757734,0.03417507668751722
82.0,0.13764309552983767,0.6099818700060768,0.5804226593862344,0.02955921061984246
83.0,0.11687720291500625,0.5955951256165173,0.5704574432351072,0.02513768238141008
84.0,0.09713462049985384,0.5813755451762505,0.5604572617492262,0.020918283427024318
85.0,0.0784214464779027,0.5673276347466549,0.5504270438273025,0.01690059091935248
86.0,0.06072559871378319,0.5534554726157148,0.540371748833425,0.013083723782289801
87.0,0.044041517575859106,0.5397721517957204,0.5302963615736884,0.009475790222031983
88.0,0.028370618151823856,0.5262886079125253,0.520205887243189,0.006082720669336316
89.0,0.013695628931765073,0.5130207484531937,0.5101053463493956,0.0029154021037980237
90.0,4.6356693950054e-17,0.4999997696179461,0.4999997696179461,9.689345397090428e-18
