inc,1/xi_p,1/xi_b,1/xi_d,1/xi_r
0.0,2.0,1.5,1.0,0.5
1.0,1.9996953903127825,1.4998476951563913,0.9999238475781956,0.49992384757819563
2.0,1.9987816540381915,1.4993908270190959,0.9996954135095479,0.4996954135095479
3.0,1.9972590695091477,1.4986295347545737,0.9993147673772869,0.4993147673772869
4.0,1.9951281005196484,1.4975640502598242,0.9987820251299121,0.4987820251299121
5.0,1.992389396183491,1.4961946980917455,0.9980973490458728,0.4980973490458728
6.0,1.9890437907365466,1.4945218953682733,0.9972609476841366,0.49726094768413664
7.0,1.985092303282644,1.492546151641322,0.996273075820661,0.496273075820661
8.0,1.9805361374831407,1.4902680687415704,0.9951340343707852,0.4951340343707852
9.0,1.9753766811902755,1.4876883405951378,0.9938441702975689,0.4938441702975689
10.0,1.969615506024416,1.4848077530122081,0.9924038765061041,0.492403876506104
11.0,1.963254366895328,1.481627183447664,0.990813591723832,0.490813591723832
12.0,1.9562952014676114,1.4781476007338057,0.9890738003669028,0.48907380036690284
13.0,1.9487401295704705,1.4743700647852354,0.9871850323926177,0.4871850323926176
14.0,1.940591452551993,1.4702957262759964,0.9851478631379982,0.48514786313799824
15.0,1.9318516525781366,1.4659258262890682,0.9829629131445341,0.48296291314453416
16.0,1.9225233918766378,1.461261695938319,0.9806308479691594,0.48063084796915945
17.0,1.9126095119260709,1.4563047559630355,0.9781523779815178,0.4781523779815177
18.0,1.902113032590307,1.4510565162951536,0.9755282581475768,0.47552825814757677
19.0,1.8910371511986337,1.445518575599317,0.9727592877996585,0.4727592877996584
20.0,1.8793852415718169,1.4396926207859084,0.9698463103929542,0.4698463103929542
21.0,1.8671608529944035,1.4335804264972016,0.9667902132486008,0.46679021324860087
22.0,1.8543677091335748,1.4271838545667874,0.9635919272833937,0.4635919272833937
23.0,1.8410097069048807,1.4205048534524405,0.9602524267262202,0.4602524267262202
24.0,1.8270909152852017,1.4135454576426008,0.9567727288213004,0.45677272882130043
25.0,1.8126155740732999,1.40630778703665,0.953153893518325,0.45315389351832497
26.0,1.797588092598334,1.398794046299167,0.9493970231495835,0.4493970231495835
27.0,1.7820130483767358,1.3910065241883678,0.9455032620941839,0.44550326209418395
28.0,1.765895185717854,1.382947592858927,0.9414737964294635,0.4414737964294635
29.0,1.7492394142787915,1.3746197071393957,0.9373098535696979,0.43730985356969787
30.0,1.7320508075688774,1.3660254037844388,0.9330127018922194,0.43301270189221935
31.0,1.7143346014042247,1.3571673007021123,0.9285836503510562,0.42858365035105617
32.0,1.696096192312852,1.3480480961564258,0.9240240480782129,0.424024048078213
33.0,1.677341135890848,1.338670567945424,0.919335283972712,0.419335283972712
34.0,1.6580751451100832,1.3290375725550416,0.9145187862775208,0.4145187862775208
35.0,1.6383040885779836,1.319152044288992,0.909576022144496,0.4095760221444959
36.0,1.618033988749895,1.3090169943749475,0.9045084971874737,0.4045084971874737
37.0,1.5972710200945857,1.2986355100472928,0.8993177550236464,0.3993177550236464
38.0,1.576021507213444,1.288010753606722,0.894005376803361,0.394005376803361
39.0,1.5542919229139418,1.277145961456971,0.8885729807284855,0.38857298072848545
40.0,1.532088886237956,1.266044443118978,0.883022221559489,0.383022221559489
41.0,1.5094191604455443,1.2547095802227721,0.8773547901113861,0.37735479011138606
42.0,1.4862896509547885,1.2431448254773942,0.8715724127386971,0.3715724127386971
43.0,1.4627074032383411,1.2313537016191707,0.8656768508095853,0.3656768508095853
44.0,1.4386796006773024,1.219339800338651,0.8596699001693255,0.3596699001693256
45.0,1.4142135623730951,1.2071067811865475,0.8535533905932737,0.3535533905932738
46.0,1.3893167409179947,1.1946583704589973,0.8473291852294986,0.3473291852294987
47.0,1.363996720124997,1.1819983600624986,0.8409991800312493,0.34099918003124924
48.0,1.3382612127177165,1.1691306063588582,0.8345653031794291,0.3345653031794291
49.0,1.3121180579810146,1.1560590289905073,0.8280295144952536,0.32802951449525364
50.0,1.2855752193730787,1.1427876096865393,0.8213938048432696,0.3213938048432697
51.0,1.258640782099675,1.1293203910498375,0.8146601955249188,0.31466019552491875
52.0,1.2313229506513166,1.1156614753256582,0.8078307376628291,0.30783073766282915
53.0,1.2036300463040968,1.1018150231520485,0.8009075115760242,0.3009075115760242
54.0,1.1755705045849463,1.0877852522924731,0.7938926261462366,0.29389262614623657
55.0,1.1471528727020923,1.073576436351046,0.786788218175523,0.2867882181755231
56.0,1.1183858069414936,1.0591929034707468,0.7795964517353734,0.2795964517353734
57.0,1.0892780700300544,1.0446390350150272,0.7723195175075136,0.2723195175075136
58.0,1.0598385284664098,1.029919264233205,0.7649596321166025,0.26495963211660245
59.0,1.0300761498201088,1.0150380749100543,0.7575190374550271,0.2575190374550272
60.0,1.0,1.0,0.75,0.25
61.0,0.9696192404926742,0.9848096202463371,0.7424048101231686,0.24240481012316856
62.0,0.9389431255717817,0.9694715627858909,0.7347357813929454,0.23473578139294543
63.0,0.9079809994790936,0.9539904997395467,0.7269952498697734,0.2269952498697734
64.0,0.8767422935781549,0.9383711467890774,0.7191855733945387,0.21918557339453873
65.0,0.8452365234813989,0.9226182617406995,0.7113091308703497,0.21130913087034972
66.0,0.8134732861516004,0.9067366430758002,0.7033683215379001,0.2033683215379001
67.0,0.7814622569785479,0.8907311284892739,0.695365564244637,0.19536556424463697
68.0,0.7492131868318239,0.874606593415912,0.687303296707956,0.18730329670795598
69.0,0.7167358990906008,0.8583679495453004,0.6791839747726502,0.1791839747726502
70.0,0.6840402866513376,0.8420201433256689,0.6710100716628344,0.1710100716628344
71.0,0.6511363089143135,0.8255681544571567,0.6627840772285783,0.16278407722857838
72.0,0.6180339887498949,0.8090169943749475,0.6545084971874737,0.15450849718747373
73.0,0.5847434094454735,0.7923717047227368,0.6461858523613684,0.14618585236136838
74.0,0.5512747116339983,0.7756373558169991,0.6378186779084996,0.13781867790849958
75.0,0.5176380902050415,0.7588190451025207,0.6294095225512604,0.12940952255126037
76.0,0.4838437911993358,0.7419218955996679,0.6209609477998339,0.12096094779983395
77.0,0.44990210868772984,0.7249510543438649,0.6124755271719324,0.11247552717193246
78.0,0.4158233816355189,0.7079116908177594,0.6039558454088797,0.10395584540887973
79.0,0.38161799075308983,0.6908089953765449,0.5954044976882724,0.09540449768827246
80.0,0.34729635533386083,0.6736481776669304,0.5868240888334653,0.08682408883346521
81.0,0.31286893008046185,0.656434465040231,0.5782172325201155,0.07821723252011546
82.0,0.2783462019201314,0.6391731009600656,0.5695865504800328,0.06958655048003284
83.0,0.24373868681029498,0.6218693434051474,0.5609346717025737,0.060934671702573745
84.0,0.20905692653530691,0.6045284632676534,0.5522642316338268,0.05226423163382673
85.0,0.17431148549531628,0.5871557427476581,0.5435778713738291,0.04357787137382907
86.0,0.1395129474882509,0.5697564737441254,0.5348782368720627,0.03487823687206273
87.0,0.10467191248588793,0.552335956242944,0.526167978121472,0.026167978121471983
88.0,0.06979899340500216,0.534899496702501,0.5174497483512506,0.01744974835125054
89.0,0.03490481287456675,0.5174524064372834,0.5087262032186417,0.008726203218641688
90.0,0.0,0.5,0.5,0.0
