inc,1/xi_p,1/xi_b,1/xi_d,1/xi_r
0.0,2.138146363355293,1.8499487658003857,0.9999995392358922,0.8499492265644935
1.0,2.1376624267933693,1.8497295474341426,0.9999667997540084,0.8497627476801343
2.0,2.136211102028628,1.8490696160721494,0.9998659808283444,0.8492036352438049
3.0,2.1337938432651726,1.8479655504645993,0.9996932006904302,0.8482723497741691
4.0,2.1304074380613525,1.8460115509291728,0.9994446066436437,0.846566944285529
5.0,2.1260649016887414,1.8438936100470178,0.9991163798017662,0.8447772302452516
6.0,2.120755235072324,1.8406716222567527,0.9987047398041844,0.8419668824525683
7.0,2.114493765122481,1.8371282668297506,0.9982059495019742,0.8389223173277763
8.0,2.1072848145906993,1.83308196419435,0.9976163196091284,0.8354656445852218
9.0,2.0991218189592304,1.8282829446307234,0.9969322133132376,0.8313507313174858
10.0,2.090019052502257,1.822971742576533,0.996150050839966,0.8268216917365669
11.0,2.079983252182384,1.8171272394886744,0.9952663139657242,0.8218609255229503
12.0,2.06902276868596,1.8107603942478159,0.9942775504729938,0.8164828437748219
13.0,2.0571319078467605,1.8037261877132664,0.9931803785428224,0.810545809170444
14.0,2.0443330971979705,1.7961973277352845,0.9919714910790836,0.804225836656201
15.0,2.0306452095264182,1.788208022108535,0.9906476599591704,0.7975603621493647
16.0,2.0160469530397167,1.779565994009986,0.9892057402058734,0.7903602538041126
17.0,2.0005909486987288,1.7705316136923899,0.987642674075291,0.7828889396170988
18.0,1.9842428288573464,1.7608478099922895,0.985955495055714,0.7748923149365755
19.0,1.9670519981632877,1.750723127774221,0.9841413317725238,0.7665817960016972
20.0,1.9490333721647408,1.740145259177451,0.9821974117942658,0.7579478473831854
21.0,1.9301648154693785,1.7289769380182025,0.9801210653351592,0.7488558726830432
22.0,1.9104860844976992,1.7173363566164082,0.9779097288494416,0.7394266277669665
23.0,1.8900150691298223,1.7052395572348322,0.9755609485130567,0.7296786087217756
24.0,1.8687693446984843,1.6926799404025354,0.9730723835883412,0.7196075568141943
25.0,1.846729014483976,1.6796049019862354,0.970441809667492,0.7091630923187433
26.0,1.8239712910426884,1.6661288492421906,0.9676671217907482,0.6984617274514424
27.0,1.8004962782687461,1.6522317204567898,0.9647463374353564,0.6874853830214332
28.0,1.7762941669835464,1.637875033687981,0.9616775993715596,0.6761974343164214
29.0,1.751435869960842,1.6231618130707817,0.958459178381986,0.6647026346887956
30.0,1.7258924625159249,1.6080030027916412,0.9550894758409872,0.6529135269506541
31.0,1.6997371867522242,1.5924891768149316,0.9515670261506468,0.6409221506642849
32.0,1.6729294080136365,1.5765554771105361,0.9478904990303332,0.6286649780802029
33.0,1.6455481987089817,1.5603116864581863,0.9440587016568593,0.616252984801327
34.0,1.6176049511845487,1.5437102561929887,0.9400705806524818,0.6036396755405069
35.0,1.5891057630202696,1.5267438700742377,0.9359252239181524,0.5908186461560854
36.0,1.5601005731232995,1.5094900934011006,0.9316218623096282,0.5778682310914725
37.0,1.5306146893114612,1.4919149852052247,0.9271598711542164,0.5647551140510083
38.0,1.5006799500863717,1.4741001104208364,0.9225387716061372,0.5515613388146993
39.0,1.470312360285315,1.4559886223419072,0.9177582318386672,0.53823039050324
40.0,1.439486989943723,1.4375456078937023,0.9128180680714286,0.5247275398222737
41.0,1.4083632323056947,1.4189663713411986,0.9077182454313832,0.5112481259098154
