 mdot  qb   x     z       g     n_bursts  rate       dt         energy        peak          u_rate    u_dt      u_energy      u_peak      
 0.18  0.2  0.67  0.0050  2.26  21        13.038992   1.840633  5.980009e+39  1.771076e+38  0.193513  0.027317  1.331034e+38  1.119805e+37
 0.08  0.2  0.70  0.0050  2.26  23         5.102106   4.703940  6.685830e+39  2.271658e+38  0.175107  0.161442  1.930365e+38  2.459993e+37
 0.10  0.2  0.70  0.0050  2.26  23         6.589925   3.641923  6.546435e+39  2.057420e+38  0.147335  0.081425  1.708043e+38  1.881698e+37
 0.12  0.2  0.70  0.0050  2.26  20         8.144873   2.946639  6.424191e+39  1.874614e+38  0.173972  0.062939  1.382067e+38  1.197551e+37
 0.14  0.2  0.70  0.0050  2.26  20         9.693307   2.475935  6.336137e+39  1.761896e+38  0.141416  0.036122  9.324843e+37  9.441893e+36
 0.16  0.2  0.70  0.0050  2.26  21        11.415386   2.102426  6.185511e+39  1.620875e+38  0.164487  0.030294  8.614725e+37  6.609624e+36
 0.18  0.2  0.70  0.0050  2.26  20        12.949242   1.853390  6.157337e+39  1.590176e+38  0.190957  0.027331  7.600806e+37  6.867501e+36
 0.08  0.2  0.73  0.0050  2.26  22         5.163407   4.648093  6.740558e+39  1.959543e+38  0.136959  0.123290  1.878156e+38  1.721847e+37
 0.10  0.2  0.73  0.0050  2.26  20         6.709400   3.577071  6.554552e+39  1.755334e+38  0.249671  0.133110  2.018866e+38  1.246937e+37
 0.12  0.2  0.73  0.0050  2.26  20         8.249132   2.909397  6.468793e+39  1.644855e+38  0.243070  0.085729  1.557310e+38  7.727588e+36
 0.14  0.2  0.73  0.0050  2.26  21        10.040810   2.390245  6.222725e+39  1.502601e+38  0.455128  0.108345  1.151977e+38  5.637790e+36
 0.16  0.2  0.73  0.0050  2.26  21        11.664684   2.057493  6.121112e+39  1.452407e+38  0.707491  0.124792  1.384834e+38  1.162849e+37
 0.18  0.2  0.73  0.0050  2.26  21        13.182620   1.820579  6.139820e+39  1.417355e+38  0.585969  0.080925  1.939030e+38  1.092516e+37
 0.08  0.0  0.67  0.0025  2.26  21         3.880171   6.185295  8.688336e+39  3.372653e+38  0.373589  0.595529  8.894342e+38  2.693875e+37
 0.10  0.0  0.67  0.0025  2.26  22         4.861105   4.937149  8.760212e+39  3.222043e+38  0.303886  0.308640  5.630360e+38  1.893183e+37
 0.12  0.0  0.67  0.0025  2.26  22         6.045642   3.969802  8.517950e+39  2.966386e+38  0.401293  0.263505  5.353979e+38  1.804319e+37
 0.14  0.0  0.67  0.0025  2.26  22         7.023468   3.417115  8.586056e+39  2.933801e+38  0.422478  0.205547  4.598351e+38  1.685021e+37
 0.16  0.0  0.67  0.0025  2.26  22         8.048256   2.982012  8.612947e+39  2.841379e+38  0.306462  0.113549  3.436846e+38  1.576156e+37
 0.18  0.0  0.67  0.0025  2.26  22         9.220741   2.602828  8.478044e+39  2.707672e+38  0.293777  0.082927  3.227713e+38  1.631065e+37
 0.08  0.0  0.70  0.0025  2.26  22         3.768399   6.368753  9.162007e+39  2.975555e+38  0.250033  0.422566  6.730986e+38  2.977605e+37
 0.10  0.0  0.70  0.0025  2.26  22         4.770844   5.030557  9.134244e+39  2.898771e+38  0.307217  0.323942  5.686088e+38  1.628321e+37
 0.12  0.0  0.70  0.0025  2.26  22         5.769380   4.159892  9.122171e+39  2.726506e+38  0.245010  0.176659  3.487339e+38  2.007694e+37
 0.14  0.0  0.70  0.0025  2.26  22         6.797323   3.530802  9.073681e+39  2.610545e+38  0.189194  0.098275  2.804777e+38  1.691862e+37
 0.16  0.0  0.70  0.0025  2.26  22         7.744071   3.099145  9.138673e+39  2.556241e+38  0.136221  0.054515  1.887274e+38  1.280146e+37
 0.18  0.0  0.70  0.0025  2.26  22         8.866213   2.706905  9.020018e+39  2.451829e+38  0.093878  0.028662  1.231206e+38  8.394641e+36
 0.08  0.0  0.73  0.0025  2.26  22         3.646533   6.581594  9.690110e+39  2.770649e+38  0.263875  0.476265  5.937895e+38  2.168241e+37
 0.10  0.0  0.73  0.0025  2.26  22         4.619844   5.194980  9.631685e+39  2.531812e+38  0.136962  0.154013  2.847036e+38  1.332543e+37
 0.12  0.0  0.73  0.0025  2.26  22         5.650825   4.247167  9.495387e+39  2.377610e+38  0.117911  0.088622  1.586553e+38  1.373250e+37
 0.14  0.0  0.73  0.0025  2.26  22         6.663889   3.601500  9.440588e+39  2.315345e+38  0.084372  0.045599  1.434269e+38  5.088524e+36
 0.16  0.0  0.73  0.0025  2.26  22         7.727064   3.105966  9.325195e+39  2.208431e+38  0.081744  0.032858  1.092773e+38  3.455764e+36
 0.18  0.0  0.73  0.0025  2.26  22         8.789298   2.730594  9.247404e+39  2.141115e+38  0.071073  0.022080  9.287913e+37  2.203076e+36
 0.08  0.0  0.67  0.0050  2.26  23         4.274484   5.614713  7.700338e+39  3.249504e+38  0.228050  0.299553  3.349644e+38  1.840203e+37
 0.10  0.0  0.67  0.0050  2.26  21         5.377311   4.463197  7.761681e+39  3.014259e+38  0.184452  0.153096  2.271400e+38  2.356034e+37
 0.12  0.0  0.67  0.0050  2.26  23         6.559891   3.658597  7.720551e+39  2.927597e+38  0.224257  0.125073  2.055307e+38  1.716123e+37
 0.14  0.0  0.67  0.0050  2.26  22         7.734916   3.102813  7.706799e+39  2.726937e+38  0.190091  0.076254  2.228274e+38  1.842385e+37
 0.16  0.0  0.67  0.0050  2.26  22         8.932890   2.686701  7.650116e+39  2.705423e+38  0.202572  0.060926  2.065669e+38  1.294696e+37
 0.18  0.0  0.67  0.0050  2.26  23        10.133436   2.368397  7.619537e+39  2.533435e+38  0.224920  0.052569  1.946441e+38  1.657598e+37
 0.08  0.0  0.70  0.0050  2.26  23         4.308027   5.570996  7.840705e+39  2.910612e+38  0.245329  0.317251  4.302718e+38  2.559996e+37
 0.10  0.0  0.70  0.0050  2.26  22         5.399681   4.444707  7.965142e+39  2.712033e+38  0.155056  0.127633  2.518671e+38  2.129498e+37
 0.12  0.0  0.70  0.0050  2.26  22         6.574005   3.650743  7.904323e+39  2.524517e+38  0.151639  0.084210  2.488835e+38  2.214156e+37
 0.14  0.0  0.70  0.0050  2.26  22         7.653318   3.135895  7.967343e+39  2.428391e+38  0.139847  0.057301  1.362296e+38  1.419361e+37
 0.16  0.0  0.70  0.0050  2.26  22         8.807574   2.724927  7.965919e+39  2.336393e+38  0.125780  0.038915  1.879483e+38  9.576690e+36
 0.18  0.0  0.70  0.0050  2.26  22         9.901558   2.423861  7.993109e+39  2.264264e+38  0.088135  0.021575  1.252085e+38  8.938570e+36
 0.08  0.0  0.73  0.0050  2.26  23         4.281949   5.604925  8.106561e+39  2.575022e+38  0.162929  0.213268  2.340847e+38  2.084566e+37
 0.10  0.0  0.73  0.0050  2.26  21         5.390136   4.452577  8.099948e+39  2.419153e+38  0.135043  0.111554  2.106152e+38  1.334231e+37
 0.12  0.0  0.73  0.0050  2.26  22         6.500710   3.691904  8.157194e+39  2.186759e+38  0.174414  0.099054  2.673487e+38  1.678210e+37
 0.14  0.0  0.73  0.0050  2.26  22         7.613723   3.152203  8.170547e+39  2.111424e+38  0.177759  0.073595  1.473708e+38  9.547839e+36
 0.16  0.0  0.73  0.0050  2.26  21         8.655825   2.772699  8.231761e+39  2.055961e+38  0.084418  0.027042  9.545021e+37  6.600131e+36
 0.18  0.0  0.73  0.0050  2.26  22         9.760946   2.458778  8.255957e+39  2.015838e+38  0.091601  0.023074  1.175534e+38  3.338875e+36
 0.08  0.0  0.67  0.0075  2.26  23         4.790720   5.009686  6.722342e+39  3.052640e+38  0.162643  0.170077  2.344666e+38  2.891216e+37
 0.10  0.0  0.67  0.0075  2.26  23         5.980337   4.013152  6.882159e+39  2.885993e+38  0.192768  0.129359  2.433366e+38  2.674300e+37
 0.12  0.0  0.67  0.0075  2.26  23         7.186177   3.339745  6.955045e+39  2.694079e+38  0.151742  0.070521  1.694682e+38  1.986831e+37
 0.14  0.0  0.67  0.0075  2.26  23         8.433143   2.845914  6.977436e+39  2.652104e+38  0.174632  0.058933  1.965882e+38  1.971173e+37
 0.16  0.0  0.67  0.0075  2.26  23         9.628799   2.492523  7.014780e+39  2.601116e+38  0.211658  0.054790  1.930595e+38  1.928640e+37
 0.18  0.0  0.67  0.0075  2.26  23        10.966190   2.188545  6.988976e+39  2.350624e+38  0.199092  0.039733  1.721920e+38  1.583707e+37
 0.08  0.0  0.70  0.0075  2.26  23         4.780018   5.020902  6.899462e+39  2.653361e+38  0.180859  0.189973  2.316231e+38  2.459528e+37
